radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,2,323,33733,0,13.249443,52.535632,1640,117,1,1302944360,1662728791,0
GSM,262,1,14118,57195,0,13.203368,52.544916,4392,200,1,1302944360,1662691473,0
GSM,262,1,14118,39439,0,13.219884,52.5431,4123,102,1,1302946176,1662688250,0
GSM,262,2,323,10792,0,13.226932,52.536924,1683,116,1,1302946176,1662703119,0
GSM,262,2,323,15771,0,13.216163,52.535562,2453,110,1,1302946176,1662703122,0
GSM,262,1,14118,40930,0,13.217194,52.532994,3192,104,1,1302946176,1662688250,0
GSM,262,1,14118,55780,0,13.205228,52.540852,5406,103,1,1302946176,1662691473,0
GSM,262,2,323,15522,0,13.206661,52.540758,4489,200,1,1302946176,1662702903,0
GSM,262,2,323,693,0,13.210899,52.527994,4332,103,1,1302946176,1662702305,0
GSM,262,1,14118,37505,0,13.20679,52.537841,3754,102,1,1302946176,1662691473,0
GSM,262,2,323,15772,0,13.225688,52.529735,5268,103,1,1302950412,1662686284,0
GSM,262,2,323,461,0,13.205316,52.531043,3709,105,1,1302950412,1662702305,0
GSM,262,1,14118,53829,0,13.219173,52.536316,2821,102,1,1302950412,1662688250,0
GSM,262,2,323,371,0,13.266169,52.527723,5378,144,1,1302950412,1662688937,0
GSM,262,2,323,11,0,13.188375,52.545157,4557,200,1,1302950533,1662691473,0
GSM,262,2,323,28413,0,13.181321,52.515704,3216,134,1,1302970502,1662713149,0
GSM,262,2,323,28403,0,13.185353,52.548629,3835,199,1,1302975222,1662691473,0
GSM,262,2,323,15993,0,13.123931,52.529004,2906,200,1,1302975222,1662695130,0
GSM,262,2,308,10421,0,13.349316,52.482847,934,113,1,1303030407,1662719100,0
GSM,262,2,323,12023,0,13.316419,52.634791,4081,199,1,1303106044,1662709611,0
GSM,262,1,14118,39563,0,13.189653,52.527963,4881,103,1,1303112846,1662688195,0
GSM,262,1,14118,36894,0,13.207545,52.527163,7901,102,1,1303112846,1662701248,0
GSM,262,2,323,492,0,13.194371,52.550027,5000,200,1,1303132937,1662698337,0
GSM,262,2,323,10912,0,13.266904,52.534427,1099,123,1,1303191392,1662734364,0
GSM,262,2,321,15143,0,13.290457,52.533211,4349,156,1,1303191876,1662714669,0
GSM,262,2,321,701,0,13.283019,52.523558,2847,157,1,1303191876,1662698702,0
GSM,262,2,321,15163,0,13.30004,52.529387,2829,108,1,1303191876,1662704361,0
GSM,262,1,14118,8421,0,13.116741,52.544265,4044,199,1,1303207006,1662695130,0
GSM,262,2,309,12881,0,13.117031,52.537161,9897,200,1,1303207006,1662695130,0
GSM,262,1,14118,54677,0,13.118955,52.526432,8317,199,1,1303208216,1662695130,0
GSM,262,2,323,15523,0,13.190127,52.544896,2979,200,1,1303210032,1662691473,0
GSM,262,2,321,33931,0,13.284702,52.532649,4283,125,1,1303228523,1662703828,0
GSM,262,2,321,33932,0,13.27501,52.530162,2998,187,1,1303228523,1662733132,0
GSM,262,2,323,36322,0,13.279684,52.536119,1847,199,1,1303228523,1662688522,0
GSM,262,2,323,33721,0,13.266082,52.533747,3098,200,1,1303228523,1662734364,0
GSM,262,2,323,36323,0,13.269945,52.535427,1173,199,1,1303228523,1662729038,0
GSM,262,2,323,512,0,13.25209,52.541231,5080,147,1,1303228670,1662729038,0
GSM,262,2,323,10902,0,13.280718,52.525297,5181,132,1,1303229759,1662701555,0
GSM,262,2,323,33723,0,13.262506,52.53348,2342,199,1,1303277563,1662734358,0
GSM,262,1,14116,33230,0,13.424098,52.540065,1378,199,1,1303309396,1662706165,0
GSM,262,2,318,29391,0,13.436568,52.535756,1461,199,1,1303309396,1662706754,0
GSM,262,2,318,29663,0,13.447061,52.528567,2040,107,1,1303309396,1662702897,0
